symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
ORCL,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,219.3000030517578,250.60000610351562,0.14272687011486535
PLUG,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,1.4500000476837158,1.5499999523162842,0.06896544920278584
ROKU,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,86.73999786376953,92.0,0.06064102220167936
RUN,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,8.199999809265137,10.149999618530273,0.2378048603198554
S,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,18.139999389648438,18.799999237060547,0.03638367528219087
SHOP,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,114.30999755859375,123.01000213623047,0.07610886854561619
SHOP,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,114.30999755859375,123.01000213623047,0.07610886854561619
SOFI,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,18.0,21.8700008392334,0.21500004662407768
TTWO,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,242.42999267578125,223.80999755859375,-0.07680565804450333
TWLO,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,124.55999755859375,130.9199981689453,0.05105973615132564
UPST,2025-06-30,2,LONG,1,20,2025-07-01,2025-07-30,63.63999938964844,83.32499694824219,0.30931800357301187
NIO,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,7.789999961853027,7.139999866485596,-0.08344032073818065
PATH,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,13.520000457763672,16.209999084472656,0.1989643887300529
S,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,17.649999618530273,16.8799991607666,-0.04362608920145633
SNAP,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,7.539999961853027,7.739999771118164,0.026525173776789365
TWLO,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,101.30999755859375,111.61000061035156,0.10166817984375819
WOLF,2025-09-30,3,LONG,1,20,2025-10-01,2025-10-29,28.670000076293945,31.989999771118164,0.11580047736272561
XYL,2025-09-30,2,LONG,1,20,2025-10-01,2025-10-29,146.39999389648438,152.9499969482422,0.04474045986907041
AFRM,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,67.41999816894531,68.54499816894531,0.016686443645117042
AI,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,24.600000381469727,26.809999465942383,0.08983735976432615
APP,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,342.5299987792969,346.32000732421875,0.011064749243653546
BE,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,22.329999923706055,25.850000381469727,0.15763548901882246
COIN,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,340.5799865722656,388.9599914550781,0.14205181393577582
DOCN,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,28.219999313354492,29.549999237060547,0.047129693694806775
FSLR,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,165.0,165.08999633789062,0.0005454323508522727
GOOGL,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,175.5399932861328,177.6199951171875,0.011849162074788583
GTLB,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,45.5,45.09000015258789,-0.009010985657408998
HOOD,2025-06-30,3,LONG,2,5,2025-07-02,2025-07-10,91.25,98.69999694824219,0.08164380217251713
INTC,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,22.530000686645508,23.81999969482422,0.05725694491182809
KTOS,2025-06-30,3,LONG,2,5,2025-07-02,2025-07-10,42.959999084472656,46.27000045776367,0.07704845074094457
MSTR,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,383.3399963378906,421.739990234375,0.10017215595378975
NTDOY,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,22.5,21.729999542236328,-0.034222242567274304
NU,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,13.65999984741211,13.029999732971191,-0.04612006745814654
ORCL,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,217.67999267578125,235.0,0.07956637222978806
PLUG,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,1.4199999570846558,1.6799999475479126,0.1830985903668985
ROKU,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,86.4000015258789,90.25,0.044560166737588836
RUN,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,9.085000038146973,10.869999885559082,0.19647769289125813
S,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,18.200000762939453,17.920000076293945,-0.01538465246746975
SHOP,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,111.80000305175781,115.16000366210938,0.030053671901923384
SHOP,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,111.80000305175781,115.16000366210938,0.030053671901923384
SOFI,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,17.524999618530273,20.969999313354492,0.19657630640868065
TTWO,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,239.92999267578125,235.3300018310547,-0.019172221002576182
TWLO,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,116.48999786376953,117.31999969482422,0.007125090962962691
UPST,2025-06-30,2,LONG,2,5,2025-07-02,2025-07-10,68.17500305175781,79.02999877929688,0.1592225191291602
NIO,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,7.849999904632568,7.460000038146973,-0.04968151225778267
PATH,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,13.079999923706055,18.510000228881836,0.4151376404318249
S,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,17.530000686645508,18.0,0.026811140612934565
SNAP,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,7.829999923706055,8.380000114440918,0.07024268149348079
TWLO,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,102.19999694824219,113.95999908447266,0.11506851748915574
WOLF,2025-09-30,3,LONG,2,5,2025-10-02,2025-10-09,25.06999969482422,35.41999816894531,0.41284398085804064
XYL,2025-09-30,2,LONG,2,5,2025-10-02,2025-10-09,148.49000549316406,146.80999755859375,-0.011313946207966528
AFRM,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,67.41999816894531,69.47000122070312,0.03040645368486639
AI,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,24.600000381469727,28.360000610351562,0.15284553538926388
APP,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,342.5299987792969,363.7799987792969,0.06203836182445457
BE,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,22.329999923706055,24.309999465942383,0.08866993054193045
COIN,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,340.5799865722656,410.75,0.20603093603342257
DOCN,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,28.219999313354492,29.139999389648438,0.03260099570089556
FSLR,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,165.0,173.5399932861328,0.05175753506747159
GOOGL,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,175.5399932861328,183.5800018310547,0.0458015771472461
GTLB,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,45.5,43.91999816894531,-0.03472531496823489
HOOD,2025-06-30,3,LONG,2,10,2025-07-02,2025-07-17,91.25,105.44999694824219,0.15561640491224316
INTC,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,22.530000686645508,22.799999237060547,0.011983956599481095
KTOS,2025-06-30,3,LONG,2,10,2025-07-02,2025-07-17,42.959999084472656,58.90999984741211,0.37127563088576454
MSTR,2025-06-30,2,LONG,2,10,2025-07-02,2025-07-17,383.3399963378906,451.3399963378906,0.17738822102993443
