symbol,date,release_time,entry_date,eps_actual,eps_estimate,eps_surprise_raw,eps_surprise_pct,sue,rev_actual,rev_estimate,rev_surprise_pct,close_prev_day,open_day1,gap_pct,volume_day1,avg_volume_20d,volume_ratio,guidance_flag,ret_1d,ret_5d,ret_10d,ret_20d,earnings_date,score,signal,reasons,signal_date,entry_open,entry_year,ret_3d,ret_close_1d,ret_close_3d,ret_close_5d,ret_close_10d,ret_close_20d,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d
NFLX,2024-04-18,AMC,2024-04-19,0.53,0.45,0.08,0.1777777777777778,3.199999999999997,9381681000.0,8732720000.0,0.0743137304299233,61.055999755859375,56.78799819946289,-0.0699030656030965,164497000.0,30105150.0,5.464081726880616,0,-0.030323243677734247,-0.01702822928462064,-0.0033105538371235458,0.08649719516830971,2024-04-18,4,LONG,SUE very strong; EPS strong beat; Revenue beat; Negative gap; High volume,2024-04-18,56.78799819946289,2024,0.011322842445299753,-0.023385207387056562,-0.02246948655213036,-0.011710169787889578,0.02018031881352889,0.0937170278866954,-0.030323243677734247,0.011322842445299753,-0.01702822928462064,-0.0033105538371235458,0.08649719516830971
BA,2024-04-24,AMC,2024-04-25,-1.13,-1.63,0.5,0.3067484662576687,2.061965247105936,16569000000.0,16236835245.0,0.0204574813988019,164.3300018310547,163.58999633789062,-0.0045031673152712,12504700.0,7345575.0,1.702344608829125,0,0.014609691565197909,0.057521877087601814,0.0975610188345639,0.1357051008326249,2024-04-24,4,LONG,SUE very strong; EPS strong beat; High volume,2024-04-24,163.58999633789062,2024,0.048291517404011594,0.022189650737046446,0.02597958368567808,0.09328204723536927,0.10795283365391808,0.052692771984493285,0.014609691565197909,0.048291517404011594,0.057521877087601814,0.0975610188345639,0.1357051008326249
LHX,2024-04-25,AMC,2024-04-26,3.06,2.91,0.1499999999999999,0.0515463917525772,2.538486572969332,5211000000.0,5111022467.0,0.0195611609312066,207.3600006103516,212.0500030517578,0.0226176814602696,2133500.0,1069965.0,1.993990457631792,0,0.01447767989270132,0.002122126582249333,0.03470879747431605,0.05555292907221311,2024-04-25,4,LONG,SUE very strong; Positive gap; High volume,2024-04-25,212.0500030517578,2024,0.011035115794454724,0.02362647693814502,-0.0014147750409821348,0.0008960265912369434,0.035604824065552994,0.05281771651523371,0.01447767989270132,0.011035115794454724,0.002122126582249333,0.03470879747431605,0.05555292907221311
TEAM,2024-04-25,AMC,2024-04-26,0.89,0.62,0.27,0.435483870967742,5.987692294732102,1189128000.0,1097713721.0,0.0832769758190897,198.41000366210932,182.72999572753903,-0.0790283133166674,5867000.0,1483870.0,3.9538504046850464,0,-0.012149079366330608,0.019537062374487418,-0.01494005248930035,-0.05352158380104937,2024-04-25,4,LONG,SUE very strong; EPS strong beat; Revenue beat; Negative gap; High volume,2024-04-25,182.72999572753906,2024,-0.05127781610173462,-0.03097459933047709,-0.05450660366636819,0.004323365421076369,-0.016308191305287434,-0.0759043147895021,-0.012149079366330608,-0.05127781610173462,0.019537062374487418,-0.01494005248930035,-0.05352158380104937
AMZN,2024-04-30,AMC,2024-05-01,0.98,0.83,0.15,0.1807228915662651,1.312226647919558,143313000000.0,142654161020.0,0.0046184350690452,175.0,181.63999938964844,0.0379428536551339,94645100.0,42767615.0,2.2130086047585307,0,-0.0043492253291531,0.03193130957524299,0.023838371755144656,-0.0018167905316206147,2024-04-30,4,LONG,SUE positive; EPS strong beat; Positive gap; High volume,2024-04-30,181.63999938964844,2024,0.02554503085906126,0.01695662762279339,0.03886807741861342,0.03501431750562985,0.023948503182848663,-0.01277247342669779,-0.0043492253291531,0.02554503085906126,0.03193130957524299,0.023838371755144656,-0.0018167905316206147
TT,2024-04-30,AMC,2024-05-01,1.94,1.65,0.29,0.1757575757575757,6.835365551469943,4215500000.0,3996569770.0,0.0547795341003142,317.3399963378906,316.4200134277344,-0.0028990449384662,1378700.0,995800.0,1.3845149628439446,0,0.0042032315145242045,0.03308893488525914,0.04680486988847225,0.017634746019439162,2024-04-30,4,LONG,SUE very strong; EPS strong beat; Revenue beat,2024-04-30,316.4200134277344,2024,0.017571573613069106,0.0011693164195886155,0.029454447920909305,0.03533276089167032,0.05015483990810199,0.027115815081732074,0.0042032315145242045,0.017571573613069106,0.03308893488525914,0.04680486988847225,0.017634746019439162
ENTG,2024-05-01,AMC,2024-05-02,0.68,0.615,0.065,0.1056910569105692,2.090619442933702,771025000.0,769244530.0,0.0023145695946645,123.30999755859376,126.6500015258789,0.0270862382078798,1320900.0,1398210.0,0.9447078764992384,0,0.03537310148407836,0.026292887181527,0.05677058606700892,0.02795105308233258,2024-05-01,4,LONG,SUE very strong; EPS strong beat; Positive gap,2024-05-01,126.6500015258789,2024,0.06269241781563901,0.0406632567219242,0.04776940662829018,0.021555494070608132,0.030951486388563945,-0.0023687567954471097,0.03537310148407836,0.06269241781563901,0.026292887181527,0.05677058606700892,0.02795105308233258
MPWR,2024-05-01,AMC,2024-05-02,2.81,2.66,0.1499999999999999,0.0563909774436089,9.999999999999927,457885000.0,447686550.0,0.0227803359292344,652.5900268554688,681.0999755859375,0.0436873803723987,1200600.0,517700.0,2.3191037280278155,0,0.06737632696133806,0.04746735904964736,0.08404060097093487,0.09166063125641738,2024-05-01,4,LONG,SUE very strong; Positive gap; High volume,2024-05-01,681.0999755859375,2024,0.06445459695736465,0.03834972258619883,0.031008656400285974,0.03952436486604436,0.06900602214758088,0.08006171083762532,0.06737632696133806,0.06445459695736465,0.04746735904964736,0.08404060097093487,0.09166063125641738
AAPL,2024-05-02,AMC,2024-05-03,1.53,1.5,0.03,0.02,3.133397807202583,90753000000.0,90366105851.0,0.0042814077839973,173.02999877929688,186.6499938964844,0.078714646091861,163224100.0,59688800.0,2.734585047781158,0,-0.023037706582264946,-0.009375837434907958,0.015322800449367879,0.03348513369609985,2024-05-02,4,LONG,SUE very strong; Positive gap; High volume,2024-05-02,186.64999389648438,2024,-0.020358895886576956,-0.026466581002712982,-0.020948237509660902,-0.0192873879584647,0.017251547420295818,0.0395392720286154,-0.023037706582264946,-0.020358895886576956,-0.009375837434907958,0.015322800449367879,0.03348513369609985
CYBR,2024-05-02,AMC,2024-05-03,0.75,0.27,0.48,1.7777777777777777,4.544033996233363,221550000.0,219240000.0,0.0105363984674329,233.5399932861328,235.3699951171875,0.0078359248251436,768897.0,461484.7,1.666137577258791,0,-0.030207761217871422,-0.006075509646288076,0.04121176194188111,-0.021328075446373235,2024-05-02,4,LONG,SUE very strong; EPS strong beat; High volume,2024-05-02,235.3699951171875,2024,0.0015295093589661806,0.0011471482264615168,-0.002081787162934853,-0.007647481965883377,0.046565012283788974,-0.023261209832632402,-0.030207761217871422,0.0015295093589661806,-0.006075509646288076,0.04121176194188111,-0.021328075446373235
