entry_day,hold_days,year,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
1,10,2022,pnl,81,0.01750670861444802,-0.0019802432681454,0.14047168847728403,0.1246280215196464,1.1216521936768176,0.49382716049382713
1,10,2023,pnl,75,0.035593215527802466,0.015495079103852,0.1134331385123301,0.3137814574700629,2.7174271340558094,0.5866666666666667
1,10,2024,pnl,87,0.02358807529229448,0.026325037995835,0.09588263704537546,0.2460098722684449,2.294627329449748,0.632183908045977
1,10,2025,pnl,87,-0.014170475787418375,-0.009858458816545,0.09216511151869658,-0.15375097533022306,-1.434093626687098,0.47126436781609193
1,10,2026,pnl,12,-0.06222102854732366,-0.05085429726133315,0.0955283175922094,-0.6513359610595504,-2.25629395470369,0.16666666666666666
1,20,2018,pnl,69,0.031221927518480238,0.026573412976231,0.10525656123251544,0.2966269005265135,2.463968090296963,0.6231884057971014
1,20,2019,pnl,75,0.0365451376500935,0.0235780562735544,0.10626854647628317,0.3438942082288627,2.978211205405307,0.64
1,20,2020,pnl,81,0.04877658304583944,0.0475964505552736,0.14028340582648965,0.3477003053815862,3.129302748434276,0.6666666666666666
1,20,2021,pnl,81,0.017727652339580527,0.0135551941204831,0.12346439036252303,0.14358514457105895,1.2922663011395306,0.6049382716049383
1,20,2022,pnl,81,0.01887560208227725,0.0049297300972771,0.1529045760001561,0.12344694041241759,1.1110224637117583,0.5185185185185185
1,20,2023,pnl,75,0.06443805118606565,0.0526315167883792,0.17133250793100702,0.3760993868835088,3.257116233888705,0.6133333333333333
1,20,2024,pnl,87,0.03411426897711411,0.0345455021053165,0.1150055155508122,0.29663159035221753,2.7667952823356963,0.6206896551724138
1,20,2025,pnl,87,-0.007328070491350308,-0.0148236122668386,0.11987210546702404,-0.061132408267961964,-0.5702051443434619,0.4827586206896552
1,20,2026,pnl,10,-0.0828105126484602,-0.0720913054926388,0.08614317310589144,-0.9613125412348746,-3.039937173586738,0.1
2,3,2018,pnl,69,-0.007064728454908801,-0.0070922254442735,0.05095777877719775,-0.13863886190561506,-1.1516208786329858,0.3333333333333333
2,3,2019,pnl,75,0.006208216129619862,0.005042633218388,0.043695552414183644,0.14207890246524643,1.2304393887671492,0.6266666666666667
2,3,2020,pnl,81,0.012519143374221013,0.0039619802843324,0.056734725619146935,0.22066103673895324,1.985949330650579,0.5555555555555556
2,3,2021,pnl,81,0.0037717021697569702,0.001624344482704,0.07966410566201218,0.04734506385798173,0.4261055747218355,0.5308641975308642
2,3,2022,pnl,81,0.008785647552750468,0.0093994391710482,0.09161214419973243,0.09590046854045937,0.8631042168641343,0.5555555555555556
2,3,2023,pnl,75,0.008451652447504223,0.0041786936102902,0.044684246573228746,0.18914165719799297,1.6380148004734973,0.5333333333333333
2,3,2024,pnl,87,0.004742400764802056,0.0072607487926375,0.05654365043071684,0.08387149978250764,0.782301270222505,0.5632183908045977
2,3,2025,pnl,87,0.0116377929655669,0.00556796875,0.07801622359980144,0.14917144702190532,1.3913786302710676,0.5517241379310345
2,3,2026,pnl,15,-0.02027536038616724,-0.0073093429413667,0.052808380059819894,-0.3839421009165565,-1.4870013627577108,0.4
2,5,2018,pnl,69,-0.0003482389987184654,-0.0009928584113985,0.057152116908528415,-0.006093195100293829,-0.05061387982151621,0.4927536231884058
2,5,2019,pnl,75,0.012970289969406398,0.0156133859572483,0.05137275661623195,0.25247408984294706,2.1864897560134686,0.6133333333333333
2,5,2020,pnl,81,0.022906212759886704,0.0200668704308255,0.07940339281955816,0.2884790176654087,2.5963111589886783,0.5679012345679012
2,5,2021,pnl,81,0.00805483322826826,0.0094057997660466,0.09428954094290613,0.0854265822881203,0.7688392405930827,0.5679012345679012
2,5,2022,pnl,81,0.011432100222581829,0.0045522824797731,0.09430053152337581,0.1212304961372139,1.0910744652349251,0.5061728395061729
2,5,2023,pnl,75,0.02207239173182178,0.0136198846463164,0.0588875123458821,0.37482296080325533,3.246062059773181,0.6666666666666666
